game_name,rank,meta_score,user_score,critic_url,4Players.de,Adventure Gamers,Android Central,App Trigger,Areajugones,Atomix,Attack of the Fanboy,AusGamers,BaziCenter,Buried Treasure,But Why Tho?,CD-Action,CGMagazine,COGconnected,Carole Quintaine,Checkpoint Gaming,Comicbook.com,Critical Hit,Cubed3,Cultured Vultures,DarkStation,DarkZero,Destructoid,Dexerto,Digital Chumps,Digital Spy,Digital Trends,Digitally Downloaded,DualShockers,EGM,Easy Allies,Edge Magazine,Eurogamer Italy,Everyeye.it,Finger Guns,Forbes,GAMES.CH,GAMINGbible,GMW3,GRYOnline.pl,Game Debate,Game Informer,Game Over Online,Game Rant,Game Revolution,Game World Navigator Magazine,GameByte,GameCrate,GameCritics,GameGrin,GameMAG,GameOver.gr,GameSkinny,GameSpace,GameSpew,GameSpot,GameStar,GameWatcher,Gameblog.fr,Gamepressure,Gamer Escape,Gamer.nl,Gamer.no,Gamers Heroes,Gamers' Temple,Gamersky,Games.cz,GamesBeat,GamesHub,GamesRadar+,Gaming Age,Gaming Nexus,GamingBolt,GamingTrend,Gfinity,God is a Geek,Guardian,Hardcore Gamer,Het Nieuwsblad,Hey Poor Player,Hobby Consolas,Hooked Gamers,IGN,IGN Adria,IGN France,IGN Italia,IGN Japan,IGN Portugal,IGN Spain,Impulsegamer,Inverse,JeuxActu,Jeuxvideo.com,KeenGamer,LEVEL (Czech Republic),Launcher (The Washington Post),LevelUp,M3,MGG Spain,MMORPG.com,Malditos Nerds,Meristation,Merlin'in Kazanı (Turkey),Metro GameCentral,Millenium,Multiplayer.it,NME,New Game Network,Noisy Pixel,PC Gamer,PC Games,PC Invasion,PCGamesN,PCMag,PLAY! Zine,PlaySense,Player 2,Power Unlimited,Press Start Australia,Quarter to Three,RPG Fan,RPG Site,RPGamer,Ragequit.gr,Riot Pixels,Road to VR,SECTOR.sk,Screen Rant,Shacknews,Shindig,Siliconera,Slant Magazine,Softpedia,SpazioGames,Stevivor,Telegraph,The Digital Fix,The Games Machine,The Indie Game Website,The Loadout,The Mako Reactor,The Overpowered Noobs,TheGamer,TheSixthAxis,TierraGamer,TrueGaming,Trusted Reviews,Twinfinite,UploadVR,VG247,VGC,Vandal,Vgames,Washington Post,Wccftech,We Got This Covered,WellPlayed,Windows Central,Worth Playing,XGN,ZTGD,null_404,parsed_name
Disco Elysium: The Final Cut,1.0,97,8.2,/game/pc/disco-elysium-the-final-cut/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,90.0,,,,,95.0,,,,,100.0,,,,,,100.0,,,,,,,,,,,,,,,,95.0,,,,,,,,,100.0,,,,,,,,DiscoElysiumTheFinalCut
Final Fantasy XIV: Endwalker,2.0,92,9.5,/game/pc/final-fantasy-xiv-endwalker/critic-reviews,,,,,,,,,,,,,,,,,,,90.0,,,,,95.0,,,,,,,95.0,,,95.0,,,,,,,,93.0,,,,,,,,,,,,,,80.0,86.0,,,,90.0,,,,,,,100.0,100.0,,,,,100.0,,,,90.0,80.0,,,,90.0,,,,,,,,90.0,,90.0,,,,,,,95.0,,90.0,,,,,100.0,,100.0,89.0,,,90.0,,,,,,,,98.0,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,92.0,,,,,,90.0,,,,,FinalFantasyXIVEndwalker
Forza Horizon 5,3.0,91,6.9,/game/pc/forza-horizon-5/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,81.0,,,,,,,,,,,90.0,90.0,,90.0,,,,85.0,,,,,,,,95.0,,,,,,90.0,100.0,,,,,,,,,,,,,,95.0,,,,95.0,,90.0,,,,,,,,,,,90.0,,100.0,90.0,90.0,,,,,,,,,,91.0,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,85.0,,,,,,ForzaHorizon5
Chicory: A Colorful Tale,4.0,90,7.4,/game/pc/chicory-a-colorful-tale/critic-reviews,,100.0,,,,,,,,,,80.0,100.0,,,90.0,,,,,,,95.0,,,,,,,,,90.0,,,,,,,,,,88.0,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,90.0,,,,,,,,85.0,,,95.0,,,,,,80.0,,,,95.0,,,85.0,,90.0,,,,,,,,,,,,100.0,,,,,,,,90.0,,,90.0,,,,,85.0,,,,,90.0,,,,,,,,82.0,,,85.0,,,,,,,,ChicoryAColorfulTale
Psychonauts 2,5.0,89,7.0,/game/pc/psychonauts-2/critic-reviews,,,,,82.0,,,,,,,,80.0,,,90.0,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,85.0,82.0,90.0,,,95.0,,,,,,,88.0,90.0,,,,,,,,,,,,,,,,100.0,,,,,,,,,80.0,,,88.0,,90.0,,,,,85.0,,,,,,89.0,,80.0,,90.0,,,92.0,100.0,81.0,,89.0,90.0,95.0,90.0,,,,100.0,,,,,,,,,,,90.0,90.0,,,80.0,,,,,,94.0,,,,,,,,85.0,90.0,,,100.0,,,,,95.0,,,,,,,,Psychonauts2
Streets of Rage 4: Mr. X Nightmare,6.0,88,7.6,/game/pc/streets-of-rage-4-mr-x-nightmare/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,95.0,,,,,,,,,85.0,,90.0,,,,70.0,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,90.0,,,,100.0,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,StreetsofRage4Mr.XNightmare
It Takes Two,7.0,88,8.8,/game/pc/it-takes-two/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,93.0,,,,,,80.0,,,,,,,,,,95.0,,,,,,90.0,87.0,,,,,,,,,95.0,,,,,,,,,,,,,,,,,90.0,,,,,90.0,,,,,90.0,,,,,,,,,92.0,,,95.0,,,,,80.0,90.0,95.0,,,,,,,,,,,,,,,,,90.0,,,,,83.0,,80.0,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,ItTakesTwo
Hitman 3,8.0,87,7.4,/game/pc/hitman-3/critic-reviews,,,,,,,100.0,,,,,90.0,,,,,70.0,,,,,,90.0,,,,80.0,,80.0,,,,80.0,80.0,,,86.0,90.0,,90.0,90.0,90.0,,,85.0,,,80.0,,,90.0,,,,,90.0,84.0,90.0,90.0,,,,,,,85.0,,100.0,,90.0,,,,,,,,,,,,,90.0,,,80.0,,,,,,85.0,85.0,,,90.0,,,,90.0,96.0,87.0,85.0,,85.0,85.0,,,90.0,90.0,90.0,85.0,80.0,90.0,,,100.0,85.0,,,,,,90.0,80.0,,,90.0,90.0,,,70.0,,88.0,70.0,,90.0,90.0,,,,,80.0,,89.0,90.0,,,,100.0,80.0,,,,,,,,,,85.0,,Hitman3
Wildermyth,9.0,87,7.9,/game/pc/wildermyth/critic-reviews,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,90.0,,,,,,,,85.0,,88.0,,,,,,,,,,,,,,,84.0,,,,,,,,,,80.0,,,,,,,85.0,90.0,,100.0,,,80.0,,,90.0,,,,,,,,,,,90.0,,,,,,,,,,90.0,,90.0,,,,90.0,,,,,,,,,,,75.0,80.0,70.0,,,,,80.0,,,,,,,,,,86.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,Wildermyth
Final Fantasy VII Remake Intergrade,10.0,86,7.8,/game/pc/final-fantasy-vii-remake-intergrade/critic-reviews,,,,,,,,,,,,,,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,75.0,,,,,,,,,,,,,80.0,80.0,,,,,,,92.0,,,80.0,,,,,,,,,90.0,,,,,,,,,,,,,88.0,,,,88.0,,90.0,90.0,80.0,,,,,,,90.0,,,,,,,100.0,,,,,,,,,,90.0,,,,,90.0,,82.0,,,,,,,,,,,,,,,,,,FinalFantasyVIIRemakeIntergrade
